Province.State,Country.Region,Area(in sq kms),Population,Population.Density,Lat,Long,Confirmed.Cases,Deaths,Median(Years),Male(Years),Female(year),Avg yearly temp
,Congo (Brazzaville),342000,2308000,6.748538012,-4.0383,21.7587,19,0,19.7,19.5,19.8,24.55
,Congo (Kinshasa),2345000,11855000,5.0554371,-4.0383,21.7587,65,6,18.6,18.3,18.8,24
,Costa Rica,51100,4906000,96.00782779,9.7489,-83.7534,314,2,31.3,30.8,31.8,24.8
,Cote d'Ivoire,322463,24290000,75.32647156,7.54,-5.5471,165,1,20.9,21,20.9,26.35
,Croatia,56594,4076000,72.02176909,45.1,15.2,713,6,43,41.1,45,10.9
,Cuba,109884,11480000,104.4738087,22,-80,139,3,41.5,40.1,42.6,25.2
,Cyprus,9251,1170000,126.4728137,35.1264,33.4299,214,5,36.8,35.5,38.3,18.45
,Czechia,78865,10650000,135.0408927,49.8175,15.473,2817,16,42.1,40.8,43.4,7.55
Faroe Islands,Denmark,1399,49290,35.23230879,61.8926,-6.9118,159,0,37.6,37.1,38.3,7.5
Greenland,Denmark,2166000,50498,0.023313943,71.7069,-42.6043,10,0,33.9,35,32.7,7.5
,Denmark,42930,5786997,134.8007687,56.2639,9.5018,2395,72,42.9,41.2,43.2,7.5
,Djibouti,23200,956985,41.24935345,11.8251,42.5903,18,0,23.9,22.1,25.3,28
,Dominican Republic,48442,10770000,222.3277321,18.7357,-70.1627,859,39,28.1,27.9,28.3,24.55
,Ecuador,283560,16620000,58.61193398,-1.8312,-78.1834,1924,58,27.7,27,28.4,21.85
,Egypt,1010000,97550000,96.58415842,26,30,609,40,23.9,23.6,24.2,22.1
,El Salvador,21041,6477824,307.8667364,13.7942,-88.8965,24,0,27.1,25.6,28.6,24.45
,Equatorial Guinea,28050,1268000,45.20499109,1.5,10,12,0,19.8,19.3,20.3,24.55
,Eritrea,117598,3546421,30.15715403,15.1794,39.7823,12,0,19.7,19.2,20.1,25.5
,Estonia,45226,1328000,29.36364038,58.5953,25.0136,679,3,42.7,39.4,46.1,5.1
,Eswatini,17364,1367000,78.72609998,-26.5225,31.4659,9,0,21.7,21.5,21.9,21.4
,Ethiopia,1104000,105000000,95.10869565,9.145,40.4897,21,0,17.9,17.1,18.1,22.2
,Fiji,18333,906000,49.41908035,-17.7134,178.065,5,0,28.9,28.7,29.1,24.4
,Finland,338440,5513000,16.28944569,64,26,1240,11,42.5,40.9,44.3,1.7
French Guiana,France,83530,269352,3.224613911,3.9339,-53.1258,28,0,25.1,24.9,25.3,10.7
French Polynesia,France,4167,275918,66.2150228,-17.6797,149.4068,30,0,31.9,31.7,32.1,10.7
Guadeloupe,France,1628,394110,242.0823096,16.25,-61.5833,106,4,41.9,41.8,42,10.7
Mayotte,France,374,256518,685.8770053,-12.8275,45.1662,63,0,20.1,19.8,20.4,10.7
New Caledonia,France,18580,284788,15.32766416,-20.9043,165.618,15,0,32,31.3,32.7,10.7
Reunion,France,2511,852924,339.6750299,-21.1351,55.2471,183,0,35.9,34.2,37.6,10.7
Saint Barthelemy,France,25,10000,400,17.9,-62.8333,5,0,44.1,44.1,44.2,10.7
St Martin,France,87,36824,423.2643678,18.0708,-63.0501,11,0,32.5,31.6,33.4,10.7
Martinique,France,1128,385551,341.8005319,14.6415,-61.0242,93,1,47,46.4,47.6,10.7
,France,643800,65273511,101.3878705,46.2276,2.2137,40174,2606,41.4,39.6,43.1,10.7
,Gabon,267668,2025000,7.56534214,-0.8037,11.6094,7,1,18.6,18.4,18.8,25.05
,"Gambia, The",11295,2101000,186.0115095,13.4432,-15.3101,4,1,21,20.7,21.3,27.5
,Georgia,153909,3717000,24.15063447,42.3154,43.3569,91,0,38.1,35.3,40.9,5.8
,Germany,357386,82790000,231.6542898,51,9,62095,533,47.1,46,48.2,8.5
,Ghana,238535,28830000,120.8627665,7.9465,-1.0232,152,5,21.1,20.6,21.6,27.2
,Greece,131957,10740000,81.39014982,39.0742,21.8243,1156,38,44.5,43.5,45.6,15.4
,Guatemela,108888,17828113,163.7289049,15.7835,-90.2308,34,1,22.1,21.4,22.8,23.45
